Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M283,130,NA,Mammalia,Eulipotyphla,Talpidae,Talpa europaea,77,77
M284,53,NA,Mammalia,Eulipotyphla,Talpidae,Talpa levantis,90,90
M285,66,NA,Mammalia,Eulipotyphla,Talpidae,Talpa occidentalis,53.5,53.5
M286,134,NA,Mammalia,Eulipotyphla,Talpidae,Talpa romana,92.5,92.5
M287,71.12,NA,Mammalia,Eulipotyphla,Talpidae,Talpa stankovici,72,72
M288,150,NA,Mammalia,Rodentia,Sciuridae,Tamias sibiricus,NA,150
M289,270,NA,Mammalia,Rodentia,Muridae,Tatera indica,166.3,166.3
M290,315000,NA,Mammalia,Carnivora,Ursidae,Ursus arctos,180520.4,180520.4
M291,8.00E+05,NA,Mammalia,Carnivora,Ursidae,Ursus maritimus,388750.4,388750.4
M292,23,NA,Mammalia,Chiroptera,Vespertilionidae,Vespertilio murinus,18.7,18.7
M293,715,NA,Mammalia,Carnivora,Mustelidae,Vormela peregusna,450.4,450.4
M294,3200,NA,Mammalia,Carnivora,Canidae,Vulpes corsac,2400,2400
M295,14000,NA,Mammalia,Carnivora,Canidae,Vulpes vulpes,5318.2,5318.2
R1,NA,60,Reptilia,Squamata,Scincidae,Ablepharus bivittatus,4.363450333,4.363450333
R2,NA,48,Reptilia,Squamata,Scincidae,Ablepharus budaki,2.012463234,2.012463234
R3,NA,52,Reptilia,Squamata,Scincidae,Ablepharus chernovi,2.943740006,2.943740006
R4,NA,52,Reptilia,Squamata,Scincidae,Ablepharus kitaibelii,3.707737599,3.707737599
R5,NA,NA,Reptilia,Squamata,Scincidae,Ablepharus pannonicus,3.123425301,3.123425301
R229,NA,79,Reptilia,Squamata,Lacertidae,Acanthodactylus boskianus,19.64546709,19.64546709
R6,NA,80,Reptilia,Squamata,Lacertidae,Acanthodactylus erythrurus,13.66306621,13.66306621
R238,NA,95,Reptilia,Squamata,Scincidae,Acanthodactylus grandis,24.93920758,24.93920758
R237,NA,NA,Reptilia,Squamata,Scincidae,Acanthodactylus harranensis,19.52366751,19.52366751
R7,NA,93,Reptilia,Squamata,Lacertidae,Acanthodactylus schreiberi,18.4498645,18.4498645
R8,NA,44,Reptilia,Squamata,Lacertidae,Algyroides fitzingeri,2.16585874,2.16585874
R9,NA,53,Reptilia,Squamata,Lacertidae,Algyroides marchi,3.510250347,3.510250347
R10,NA,50,Reptilia,Squamata,Lacertidae,Algyroides moreoticus,2.955700894,2.955700894
R11,NA,68,Reptilia,Squamata,Lacertidae,Algyroides nigropunctatus,7.977821519,7.977821519
R12,NA,43,Reptilia,Squamata,Gekkonidae,Alsophylax pipiens,1.692638921,1.692638921
R116,NA,75,Reptilia,Squamata,Lacertidae,Anatololacerta anatolica,9.779255388,9.779255388
R120,NA,230,Reptilia,Squamata,Lacertidae,Anatololacerta danfordi,9.779255388,9.779255388
R127,NA,65,Reptilia,Squamata,Lacertidae,Anatololacerta oertzeni,NA,NA
R13,NA,300,Reptilia,Squamata,Anguidae,Anguis cephallonica,75.85960343,75.85960343
R14,NA,290,Reptilia,Squamata,Anguidae,Anguis fragilis,79.75878398,79.75878398
R118,NA,250,Reptilia,Squamata,Lacertidae,Apathya cappadocica,10.16906237,10.16906237
R15,NA,80,Reptilia,Squamata,Lacertidae,Archaeolacerta bedriagae,13.66306621,13.66306621
R16,NA,100,Reptilia,Squamata,Gekkonidae,Asaccus elisae,7.194984041,7.194984041
R17,NA,254,Reptilia,Squamata,Amphisbaenidae,Blanus cinereus,16.57393487,16.57393487
R18,NA,200,Reptilia,Squamata,Amphisbaenidae,Blanus strauchi,9.736580055,9.736580055
R19,NA,98,Reptilia,Squamata,Scincidae,Chalcides bedriagai,20.03568347,20.03568347
R20,NA,99,Reptilia,Squamata,Scincidae,Chalcides bistriatus,NA,NA
R21,NA,185,Reptilia,Squamata,Scincidae,Chalcides chalcides,34.16064774,34.16064774
R22,NA,160,Reptilia,Squamata,Scincidae,Chalcides ocellatus,79.7257613,79.7257613
R23,NA,99,Reptilia,Squamata,Scincidae,Chalcides sexlineatus,20.84039965,20.84039965
R24,NA,125,Reptilia,Squamata,Scincidae,Chalcides simonyi,NA,NA
R25,NA,210,Reptilia,Squamata,Scincidae,Chalcides striatus,34.16064774,34.16064774
R26,NA,91,Reptilia,Squamata,Scincidae,Chalcides viridanus,48.98850374,48.98850374
R220,NA,190,Reptilia,Squamata,Chamaeleonidae,Chamaeleo africanus,147.8292549,147.8292549
